HYBAS_ID,NEXT_DOWN,NEXT_SINK,MAIN_BAS,DIST_SINK,DIST_MAIN,SUB_AREA,UP_AREA,PFAF_ID,ENDO,COAST,ORDER,SORT
5080294910,5080297060,5080068450,5080068450,423.5,423.5,2073.9,20986.4,"56327070","0","0","1","7010"
5080294920,5080297060,5080068450,5080068450,423.5,423.5,1945.9,1945.9,"56327060","0","0","2","7011"
5080332170,5080338320,5080068450,5080068450,433,433,414.3,1094.6,"56324427","0","0","4","7012"
5080332410,5080338320,5080068450,5080068450,433.2,433.2,818.3,818.3,"56324426","0","0","5","7013"
5080346560,5080347130,5080068450,5080068450,437,437,190.9,1674,"56324743","0","0","3","7014"
5080346800,5080347130,5080068450,5080068450,437,437,734.6,734.6,"56324742","0","0","4","7015"
5080348910,5080345410,5080068450,5080068450,440,440,955.3,955.3,"56324490","0","0","3","7016"
5080349020,5080345410,5080068450,5080068450,440.1,440.1,318,318.2,"56324480","0","0","4","7017"
5080297820,5080296890,5080068450,5080068450,440.4,440.4,17.1,1477.9,"56327047","0","0","2","7018"
5080297640,5080296890,5080068450,5080068450,440.5,440.5,494.7,494.8,"56327046","0","0","3","7019"
5080297810,5080297820,5080068450,5080068450,446.9,446.9,138.5,138.5,"56327048","0","0","3","7020"
5080345740,5080346560,5080068450,5080068450,447,447,1031.7,1031.7,"56324745","0","0","3","7021"
5080345660,5080346560,5080068450,5080068450,447,447,451.7,451.9,"56324744","0","0","4","7022"
5080297890,5080297820,5080068450,5080068450,447,447,1322.3,1322.3,"56327049","0","0","2","7023"
5080304750,5080300910,5080068450,5080068450,454.2,454.2,246,1788.5,"56326005","0","0","2","7024"
5080304660,5080300910,5080068450,5080068450,454.2,454.2,196.2,196.2,"56326004","0","0","3","7025"
5080329150,5080332170,5080068450,5080068450,458.7,458.7,190.3,190.5,"56324428","0","0","5","7026"
5080329100,5080332170,5080068450,5080068450,458.9,458.9,489.4,489.8,"56324429","0","0","4","7027"
5080358460,5080349530,5080068450,5080068450,459.9,459.9,1.5,1942.9,"56324607","0","0","3","7028"
5080358530,5080349530,5080068450,5080068450,459.9,459.9,461.8,461.8,"56324606","0","0","4","7029"
5080358470,5080358460,5080068450,5080068450,460.3,460.3,489.5,489.7,"56324608","0","0","4","7030"
5080358540,5080358460,5080068450,5080068450,460.5,460.5,1452.1,1452.1,"56324609","0","0","3","7031"
5080305590,5080304750,5080068450,5080068450,469,469,254,254,"56326006","0","0","3","7032"
5080305660,5080304750,5080068450,5080068450,469.2,469.2,371.5,1288.3,"56326007","0","0","2","7033"
5080288630,5080294910,5080068450,5080068450,487,487,515.1,17673.1,"56327090","0","0","1","7034"
5080288560,5080294910,5080068450,5080068450,487,487,1239.1,1239.1,"56327080","0","0","2","7035"
5080307390,5080305660,5080068450,5080068450,501.8,501.8,227,227,"56326008","0","0","3","7036"
5080307270,5080305660,5080068450,5080068450,502,502,689.8,689.8,"56326009","0","0","2","7037"
5080364890,5080350370,5080068450,5080068450,504.1,504.1,15.9,3102.7,"56324781","0","0","3","7038"
5080365020,5080350370,5080068450,5080068450,504.3,504.3,317,11405.1,"56324790","0","0","2","7039"
5080365490,5080364890,5080068450,5080068450,506.7,506.7,184.8,184.8,"56324782","0","0","4","7040"
5080365500,5080364890,5080068450,5080068450,506.9,506.9,221.4,2902,"56324783","0","0","3","7041"
5080289850,5080288630,5080068450,5080068450,517.1,517.1,63.2,6511.8,"56328001","0","0","2","7042"
5080289740,5080288630,5080068450,5080068450,517.3,517.3,524.5,10646.2,"56329010","0","0","1","7043"
5080366140,5080365020,5080068450,5080068450,518.6,518.6,529.8,5717.2,"56324801","0","0","3","7044"
5080366250,5080365020,5080068450,5080068450,518.6,518.6,709.2,5371.1,"56324901","0","0","2","7045"
5080290280,5080289850,5080068450,5080068450,527.9,527.9,1237.2,1237.4,"56328002","0","0","3","7046"
5080290270,5080289850,5080068450,5080068450,528.1,528.1,1400.9,5211.2,"56328003","0","0","2","7047"
5080370040,5080365500,5080068450,5080068450,529.4,529.4,257.3,2358.9,"56324785","0","0","3","7048"
5080369700,5080365500,5080068450,5080068450,529.4,529.4,321.6,321.6,"56324784","0","0","4","7049"
5080369580,5080366140,5080068450,5080068450,541.6,541.6,431.3,4857.5,"56324803","0","0","3","7050"
5080369570,5080366140,5080068450,5080068450,541.6,541.6,329.9,329.9,"56324802","0","0","4","7051"
5080372480,5080370040,5080068450,5080068450,543.7,543.7,454,454,"56324786","0","0","4","7052"
5080372570,5080370040,5080068450,5080068450,543.9,543.9,958.5,1647.5,"56324787","0","0","3","7053"
5080287240,5080289740,5080068450,5080068450,549.7,549.7,1968.9,9413.4,"56329030","0","0","1","7054"
5080287170,5080289740,5080068450,5080068450,549.7,549.7,708.2,708.2,"56329020","0","0","2","7055"
5080371010,5080369580,5080068450,5080068450,552,552,785.6,785.8,"56324804","0","0","4","7056"
5080371140,5080369580,5080068450,5080068450,552.2,552.2,238.4,3640.4,"56324805","0","0","3","7057"
5080374570,5080371140,5080068450,5080068450,574,574,562.4,562.6,"56324806","0","0","4","7058"
5080374690,5080371140,5080068450,5080068450,574.2,574.2,865.2,2839.6,"56324807","0","0","3","7059"
5080378820,5080372570,5080068450,5080068450,583.7,583.7,404.8,404.8,"56324788","0","0","4","7060"
5080378920,5080372570,5080068450,5080068450,583.9,583.9,284,284.1,"56324789","0","0","3","7061"
5080286330,5080287240,5080068450,5080068450,597.2,597.2,198.4,6376.5,"56329050","0","0","1","7062"
5080286370,5080287240,5080068450,5080068450,597.3,597.3,1068,1068.1,"56329040","0","0","2","7063"
5080377560,5080366250,5080068450,5080068450,600.9,600.9,230.9,230.9,"56324902","0","0","3","7064"
5080377680,5080366250,5080068450,5080068450,600.9,600.9,282.7,4431.2,"56324903","0","0","2","7065"
5080295330,5080290270,5080068450,5080068450,613.9,613.9,887.6,887.6,"56328004","0","0","3","7066"
5080295160,5080290270,5080068450,5080068450,614,614,1.5,2922.6,"56328005","0","0","2","7067"
5080285210,5080286330,5080068450,5080068450,614.7,614.7,1860.8,4164.8,"56329070","0","0","1","7068"
5080285200,5080286330,5080068450,5080068450,614.7,614.7,2013.2,2013.3,"56329060","0","0","2","7069"
5080295150,5080295160,5080068450,5080068450,615.3,615.3,486.7,1826.6,"56328007","0","0","2","7070"
5080295000,5080295160,5080068450,5080068450,615.3,615.3,1094.3,1094.4,"56328006","0","0","3","7071"
5080381650,5080377680,5080068450,5080068450,627.7,627.7,1438.6,1438.6,"56324904","0","0","3","7072"
5080381760,5080377680,5080068450,5080068450,627.9,627.9,811.9,2710,"56324905","0","0","2","7073"
5080383180,5080374690,5080068450,5080068450,630.7,630.7,1653,1653.4,"56324809","0","0","3","7074"
5080382950,5080374690,5080068450,5080068450,630.7,630.7,321,321,"56324808","0","0","4","7075"
5080297630,5080295150,5080068450,5080068450,668.2,668.2,860.3,860.3,"56328009","0","0","2","7076"
5080297750,5080295150,5080068450,5080068450,668.2,668.2,479.8,479.8,"56328008","0","0","3","7077"
5080279950,5080285210,5080068450,5080068450,673.4,673.4,1646.1,1646.1,"56329090","0","0","1","7078"
5080279850,5080285210,5080068450,5080068450,673.4,673.4,658.2,658.3,"56329080","0","0","2","7079"
5080390250,5080381760,5080068450,5080068450,693,693,499.5,499.5,"56324906","0","0","3","7080"
5080390260,5080381760,5080068450,5080068450,693.2,693.2,372,1398.5,"56324907","0","0","2","7081"
5080393870,5080390260,5080068450,5080068450,722.2,722.2,552.5,552.7,"56324909","0","0","2","7082"
5080394010,5080390260,5080068450,5080068450,722.2,722.2,474.1,474.2,"56324908","0","0","3","7083"
5080068460,0,5080068460,5080068460,0,0,108.4,108.4,"56330011","0","1","0","7084"
5080068470,0,5080068470,5080068470,0,0,225.2,225.4,"56330012","0","0","1","7085"
5080068480,0,5080068480,5080068480,0,0,395.6,395.6,"56330013","0","1","0","7086"
5080068540,0,5080068540,5080068540,0,0,200.4,200.4,"56330014","0","0","1","7087"
5080068550,0,5080068550,5080068550,0,0,528.8,528.8,"56330015","0","1","0","7088"
5080068580,0,5080068580,5080068580,0,0,330.3,330.3,"56330016","0","0","1","7089"
5080068590,0,5080068590,5080068590,0,0,434.4,434.4,"56330017","0","1","0","7090"
5080068640,0,5080068640,5080068640,0,0,523.9,523.9,"56330018","0","0","1","7091"
5080068650,0,5080068650,5080068650,0,0,10.5,10.7,"56330019","0","1","0","7092"
5080068660,0,5080068660,5080068660,0,0,1117.1,1117.1,"56330020","0","0","1","7093"
5080068670,0,5080068670,5080068670,0,0,344.6,344.6,"56330031","0","1","0","7094"
5080068730,0,5080068730,5080068730,0,0,293.8,294,"56330032","0","0","1","7095"
5080068740,0,5080068740,5080068740,0,0,1281.6,1281.6,"56330033","0","1","0","7096"
5080068820,0,5080068820,5080068820,0,0,1007.3,1007.3,"56330034","0","0","1","7097"
5080068830,0,5080068830,5080068830,0,0,164,164,"56330035","0","1","0","7098"
5080068870,0,5080068870,5080068870,0,0,886,886.5,"56330036","0","0","1","7099"
5080068880,0,5080068880,5080068880,0,0,514.8,514.8,"56330037","0","1","0","7100"
5080068910,0,5080068910,5080068910,0,0,556.8,557,"56330038","0","0","1","7101"
5080068920,0,5080068920,5080068920,0,0,683.1,683.1,"56330039","0","1","0","7102"
5080068990,0,5080068990,5080068990,0,0,1547.3,1547.4,"56330040","0","0","1","7103"
5080069000,0,5080069000,5080069000,0,0,234.8,234.8,"56330051","0","1","0","7104"
5080069040,0,5080069040,5080069040,0,0,470.1,470.1,"56330052","0","0","1","7105"
5080069050,0,5080069050,5080069050,0,0,595.8,595.8,"56330053","0","1","0","7106"
5080069100,0,5080069100,5080069100,0,0,424.7,424.7,"56330054","0","0","1","7107"
5080069110,0,5080069110,5080069110,0,0,1402.8,1402.8,"56330055","0","1","0","7108"
5080069220,0,5080069220,5080069220,0,0,349.4,349.5,"56330056","0","0","1","7109"
5080069230,0,5080069230,5080069230,0,0,73.7,73.7,"56330057","0","1","0","7110"
5080069240,0,5080069240,5080069240,0,0,525.2,525.3,"56330058","0","0","1","7111"
5080069250,0,5080069250,5080069250,0,0,204.7,204.7,"56330059","0","1","0","7112"
5080069260,0,5080069260,5080069260,0,0,1066.7,1066.7,"56330060","0","0","1","7113"
5080069270,0,5080069270,5080069270,0,0,982.8,982.8,"56330070","0","1","0","7114"
5080069330,0,5080069330,5080069330,0,0,1131.7,1131.7,"56330080","0","0","1","7115"
5080069340,0,5080069340,5080069340,0,0,1.6,1.6,"56330091","0","1","0","7116"
5080069350,0,5080069350,5080069350,0,0,165.7,165.9,"56330092","0","0","1","7117"
5080069360,0,5080069360,5080069360,0,0,317.4,317.4,"56330093","0","1","0","7118"
5080069390,0,5080069390,5080069390,0,0,643.9,644.2,"56330094","0","0","1","7119"
5080069400,0,5080069400,5080069400,0,0,839.2,839.2,"56330095","0","1","0","7120"
